"hours.awake","ml.coffee","wakefulness","prediction","cups.coffee"
15,224,53.23,53.5548850631881,1
3,308,40.9,40.6639242697392,2
11,171,45.02,45.0449278077147,1
15,264,57.2,57.1704979981263,1
7,341,49.02,48.9771251066031,2
8,302,49.31,48.8947311919714,2
13,139,44.38,44.3751260502422,0
4,233,40,40.2716159508389,1
4,395,44.69,44.8060765518911,2
17,358,69.81,69.6484175319976,2
5,254,41.9,42.2600689777842,1
4,401,44.72,44.9740195371153,2
18,202,54.8,54.8833127003704,1
8,305,49.01,49.0467752218592,2
16,312,63.54,63.2389033622118,2
11,434,63.28,62.8498904204251,2
16,294,61.64,61.5097687355762,1
17,383,72.05,72.191811188316,2
17,270,60.68,60.6956718617571,1
4,319,42.29,42.6787987390518,2
11,266,51.82,51.4763781811272,1
18,174,51.85,51.8758758849839,1
15,314,61.62,61.6900141667985,2
11,268,51.47,51.6117771363569,1
4,141,38.02,37.6964901774019,0
1,117,35.32,35.1542449022167,0
15,453,74.17,74.2542691157074,3
4,294,41.92,41.9790363006178,1
12,117,41.84,42.0126471279413,0
6,223,42.35,42.4413080235289,1
7,279,46.52,46.186589931513,1
16,340,66.07,65.9286683369783,2
3,106,36,36.1557314780009,0
12,147,44.49,44.2138127995767,0
14,279,56.95,56.9838824840761,1
12,215,49.35,49.2031216552835,1
11,388,59.39,59.7357144501412,2
15,172,48.88,48.8545882477693,1
3,333,41.1,41.2218689221822,2
7,138,39.87,39.8403728397759,0
3,104,35.79,36.1110959058054,0
5,471,49.75,49.564985325794,3
9,391,55.68,55.5831847912017,2
4,326,42.96,42.8747322218133,2
2,224,37.73,37.5587590020598,1
5,360,45.88,45.8283691293466,2
4,216,40.2,39.7957774927038,1
13,213,50.16,50.2244486868099,1
17,376,71.53,71.4796609645469,2
16,467,78.06,78.1286737582407,3
6,180,40.9,40.749863445613,1
15,210,52.49,52.2894205359602,1
13,278,55.59,55.3623672189301,1
15,300,60.33,60.4245496395703,2
14,311,59.83,59.6948460659577,2
13,177,47.52,47.3788322690202,1
2,206,37.33,37.2591476582145,1
7,327,48.24,48.347004260615,2
16,347,66.29,66.6011095806699,2
5,127,38.05,37.9848414377048,0
13,202,48.92,49.3549547813741,1
6,383,48.55,48.7350552901925,2
3,166,37.48,37.4947986438638,1
14,426,69.48,69.4373714383449,2
8,134,40.33,40.3802655182542,0
11,325,55.27,55.4706473604044,2
11,251,50.3,50.4608860169042,1
2,272,38.29,38.3577225856472,1
8,306,49.25,49.0974565651552,2
15,206,52.06,51.9278592424664,1
7,158,40.58,40.7405454769017,1
14,30,36.04,35.8891971125596,0
6,323,46.29,46.3749000651937,2
17,405,74.21,74.4299976058761,2
5,303,43.93,43.9095662176574,2
10,207,46.45,46.3480738608525,1
4,187,38.84,38.9840530641204,1
1,432,38.71,38.6105393160211,2
16,220,54,54.4011041594075,1
7,368,50.05,50.192358166723,2
3,221,38.88,38.7222768792381,1
6,285,44.84,44.880135089361,1
16,224,54.77,54.7853562986599,1
2,381,39.96,40.1720357233769,2
16,301,62.58,62.1822099792678,2
4,401,44.99,44.9740195371153,2
15,215,52.79,52.7413721528274,1
6,338,47.07,46.9649388714434,2
13,250,52.98,53.1491100050937,1
15,286,58.95,59.1590851123421,1
12,317,56.89,56.6870849388438,2
3,392,42.71,42.5386183019474,2
12,147,43.87,44.2138127995767,0
17,233,57.28,56.9314492504059,1
12,237,50.6,50.8173098144828,1
9,379,54.89,54.9069361343748,2
11,325,55.34,55.4706473604044,2
11,0,33.5,33.4683171355721,0
9,344,53.07,52.9345442186295,2
16,218,54.23,54.2089780897813,1
