y,longPP,timePoint,preTest,postTest,diffScores
2.857998178,1,pre,2.857998178,3.480711613,0.6227134345
3.358245985,2,pre,3.358245985,5.75831349,2.400067505
6.362331262,3,pre,6.362331262,7.676520802,1.31418954
7.49910953,4,pre,7.49910953,8.786443161,1.287333631
9.118580759,5,pre,9.118580759,11.22970115,2.111120387
12.03140941,6,pre,12.03140941,14.5413833,2.509973887
14.29507541,7,pre,14.29507541,17.98044087,3.685365464
16.42850128,8,pre,16.42850128,18.84375333,2.415252044
17.10810907,9,pre,17.10810907,18.40116488,1.293055807
20.51827294,10,pre,20.51827294,24.46317475,3.944901811
21.89703904,11,pre,21.89703904,21.69262154,-0.2044175
25.26986368,12,pre,25.26986368,28.78267308,3.512809401
25.50683165,13,pre,25.50683165,25.71798599,0.2111543442
28.09958601,14,pre,28.09958601,32.18683109,4.087245075
29.72412992,15,pre,29.72412992,31.3107489,1.586618975
31.70285764,16,pre,31.70285764,34.46207135,2.759213703
34.40539976,17,pre,34.40539976,38.91013421,4.504734444
35.58717447,18,pre,35.58717447,34.61059959,-0.976574873
37.6398241,19,pre,37.6398241,41.4838181,3.843994002
39.55666673,20,pre,39.55666673,39.25008397,-0.3065827652
3.480711613,1,post,,,
5.75831349,2,post,,,
7.676520802,3,post,,,
8.786443161,4,post,,,
11.22970115,5,post,,,
14.5413833,6,post,,,
17.98044087,7,post,,,
18.84375333,8,post,,,
18.40116488,9,post,,,
24.46317475,10,post,,,
21.69262154,11,post,,,
28.78267308,12,post,,,
25.71798599,13,post,,,
32.18683109,14,post,,,
31.3107489,15,post,,,
34.46207135,16,post,,,
38.91013421,17,post,,,
34.61059959,18,post,,,
41.4838181,19,post,,,
39.25008397,20,post,,,
