"grade" "studyHours" "motivation"
68.76 16 13.4
68.91 18 18.27
75.37 31 17.04
74.11 20 16.28
69.82 21 12.41
80.55 32 19.08
66.85 23 12.65
67.25 11 8.31
67.87 15 14.87
69.15 17 21.62
75.64 29 15.45
69.99 23 20.24
70.5 23 9.21
67.44 21 16.41
64.78 16 18.75
77.41 33 20.19
72.84 23 18.3
63.16 6 12.63
75.27 25 14
74.65 17 13.01
65.03 13 16.79
62.07 18 10.88
69.52 13 14.65
65.37 15 14.99
65.94 16 25.61
67.08 8 13.36
72.15 26 18.81
66.84 21 16.96
66.54 12 11.7
74.08 29 17.66
71.52 23 24.73
70.16 18 19.49
71.89 26 17.78
74.93 26 16.07
72.34 26 7.4
73.5 25 23.56
75.29 24 10.95
71.31 20 21.16
68.02 18 26.35
71.95 17 10.37
70.48 15 20.81
71.15 19 16.12
66.22 11 8.58
75.62 35 10.75
78.08 28 10.81
64.2 12 13.39
75.06 17 10.9
73.1 17 21.26
71.79 25 28.06
66.42 19 10.05
