"use.homeopathic.remedies","healthy.lifestyle","speed.of.healing"
11.8474,19.4147,31.5653
6.4263,10.8913,21.56
7.4717,13.4331,24.7655
11.1266,18.7493,30.3038
9.86,15.724,28.1135
10.2019,17.0466,28.915
8.0348,13.6053,24.2853
8.9638,14.6359,24.968
7.5647,13.4854,22.0825
12.8471,20.3873,32.0679
11.99,19.6664,30.2207
12.6076,20.7404,33.6882
10.8439,19.4803,29.6136
10.3023,15.7924,26.721
12.7552,20.935,35.9895
10.9376,18.4966,29.1626
8.5109,14.4279,27.1764
7.4004,12.9514,22.0209
10.6501,17.7578,28.6834
10.0805,17.4318,29.2812
9.3925,15.4437,28.0397
10.1325,16.8949,25.0259
9.2196,15.5785,26.2159
7.4472,12.6264,20.8893
11.3594,19.2173,29.645
9.3028,16.0537,25.7313
6.2763,11.3278,20.116
12.078,18.7028,28.9131
9.5563,16.7465,26.7673
11.7054,19.8332,32.6348
11.7785,19.4624,29.7994
7.1043,12.4367,17.3543
9.1099,16.4776,27.1644
13.7946,23.3338,37.9107
11.4151,19.2888,29.5814
9.9574,17.6057,29.6244
8.6585,14.1238,23.8872
13.5017,22.434,34.0762
9.0803,15.1066,23.3827
11.4784,19.7061,32.0559
11.2515,18.8499,29.374
10.5131,17.0535,30.2277
5.6602,10.4748,21.2304
9.7018,17.2767,28.79
10.5397,17.5378,26.4061
6.3475,10.6793,19.1665
10.7253,18.2382,30.4876
8.4131,15.3139,24.9833
9.7929,17.7263,25.818
9.4457,16.3963,28.0138
