id,Time spent revising,Exam performance,Exam anxiety,Gender
1,4,40,86.298,Man
2,11,65,88.716,Woman
3,27,80,70.178,Man
4,53,80,61.312,Man
5,4,40,89.522,Man
6,22,70,60.506,Woman
7,16,20,81.462,Woman
8,21,55,75.82,Woman
9,25,50,69.372,Woman
10,18,40,82.268,Woman
11,18,45,79.044,Man
12,16,85,80.656,Man
13,13,70,70.178,Man
14,18,50,75.014,Woman
15,98,95,34.714,Man
16,1,70,95.164,Man
17,14,95,75.82,Man
18,29,95,79.044,Woman
19,4,50,91.134,Woman
20,23,60,64.536,Man
21,14,80,80.656,Man
22,12,75,77.432,Man
23,22,85,65.342,Woman
24,84,90,0.056,Woman
25,23,30,71.79,Woman
26,26,60,81.462,Woman
27,24,75,63.73,Man
28,72,75,27.46,Woman
29,37,27,73.402,Woman
30,10,20,89.522,Man
31,3,75,89.522,Woman
32,36,90,75.014,Woman
33,43,60,43.58,Man
34,19,30,82.268,Man
35,12,80,79.044,Man
36,9,10,79.044,Woman
37,72,85,37.132,Man
38,10,7,81.462,Man
39,12,5,83.074,Woman
40,30,85,50.834,Man
41,15,20,82.268,Man
42,8,45,78.238,Woman
43,34,60,72.596,Man
44,22,70,74.208,Woman
45,21,50,75.82,Woman
46,27,25,70.984,Man
47,6,50,97.582,Man
48,18,40,67.76,Man
49,8,80,75.014,Man
50,19,50,73.402,Woman
51,0,35,93.552,Woman
52,52,80,58.894,Woman
53,38,50,53.252,Woman
54,19,49,84.686,Man
55,23,75,89.522,Woman
56,11,25,71.79,Woman
57,27,65,82.268,Man
58,17,80,69.372,Man
59,13,50,62.118,Man
60,42,70,68.566,Woman
61,4,40,93.552,Man
62,8,80,84.686,Woman
63,6,10,82.268,Man
64,11,20,81.462,Woman
65,7,40,82.268,Man
66,15,40,91.134,Man
67,4,70,91.94,Woman
68,28,52,86.298,Woman
69,22,50,72.596,Man
70,29,60,63.73,Woman
71,2,80,63.73,Man
72,16,60,71.79,Woman
73,59,65,57.282,Man
74,10,15,84.686,Woman
75,13,85,84.686,Man
76,8,20,77.432,Woman
77,5,80,82.268,Woman
78,2,100,10,Man
79,38,100,50.834,Woman
80,4,80,87.91,Man
81,10,10,83.88,Man
82,6,70,84.686,Woman
83,68,100,20.206,Woman
84,8,70,87.104,Man
85,1,70,83.88,Woman
86,14,65,67.76,Man
87,42,75,95.97,Woman
88,13,85,62.118,Woman
89,1,30,84.686,Man
90,3,5,92.746,Man
91,5,10,84.686,Woman
92,12,90,83.074,Woman
93,19,70,73.402,Man
94,2,20,87.91,Woman
95,19,85,71.79,Man
96,11,35,86.298,Man
97,15,30,84.686,Woman
98,23,70,75.82,Man
99,13,55,70.984,Woman
100,14,75,78.238,Woman
101,1,2,82.268,Man
102,9,40,79.044,Man
103,20,50,91.134,Woman
