"grade" "studyHours" "motivation"
68.76 16 16.74
68.91 18 17.06
75.37 31 18.2
74.11 20 17.92
69.82 21 16.88
80.55 32 19.3
66.85 23 16.34
67.25 11 16.15
67.87 15 16.66
69.15 17 17.31
75.64 29 18.16
69.99 23 17.38
70.5 23 16.81
67.44 21 16.67
64.78 16 16.31
77.41 33 18.77
72.84 23 17.8
63.16 6 15.64
75.27 25 18
74.65 17 17.82
65.03 13 16.24
62.07 18 15.33
69.52 13 16.96
65.37 15 16.2
65.94 16 16.94
67.08 8 16.42
72.15 26 17.7
66.84 21 16.59
66.54 12 16.22
74.08 29 18
71.52 23 17.94
70.16 18 17.37
71.89 26 17.59
74.93 26 18.06
72.34 26 17.05
73.5 25 18.24
75.29 24 17.82
71.31 20 17.68
68.02 18 17.38
71.95 17 17.16
70.48 15 17.51
71.15 19 17.35
66.22 11 15.97
75.62 35 17.87
78.08 28 18.34
64.2 12 15.88
75.06 17 17.77
73.1 17 18.03
71.79 25 18.19
66.42 19 16.1
