"hours.awake","ml.coffee","wakefulness","prediction","cups.coffee"
15,213,362.92,391.35580233061,1
3,299,242.94,222.160482765999,1
11,169,254.94,257.267767065411,1
15,249,459.29,456.231299258627,1
7,326,360.91,356.751116987227,2
8,290,384.38,347.467798415147,1
13,138,235.76,235.151200645362,0
4,231,179.65,203.249001151604,1
4,377,291.44,301.855084602139,2
17,332,680.58,666.594918531954,2
5,249,205.85,237.299132250434,1
4,383,283.25,305.907389401476,2
18,191,392.22,399.566764272599,1
8,292,345.97,349.637994320623,1
16,291,585.24,558.114590813705,1
11,406,625.41,587.262613283104,2
16,275,538.91,527.642181345416,1
17,354,698.64,710.747907558185,2
17,253,506.54,508.045548846853,1
4,309,221.85,255.928963542986,2
11,254,405.72,375.620349042221,1
18,165,342.15,344.722819232932,1
15,294,531.55,537.325670418646,1
11,257,366.9,379.797498994344,1
4,148,175.78,147.192118094108,0
1,129,120.57,105.554413216774,0
15,419,755.35,762.58781252981,2
4,286,235.31,240.39512847886,1
12,120,182.25,197.720930535532,0
6,220,225.83,233.665358704823,1
7,270,330.77,301.721625107115,1
16,316,617.93,605.727730607908,2
3,118,104.89,118.455504985723,0
12,147,262.58,238.080848386363,0
14,264,457.09,459.833112787966,1
12,208,342.44,329.264366493796,1
11,364,498.18,528.782513953386,2
15,166,308.72,306.657236896814,1
3,322,224.63,235.338463367913,2
7,143,179.17,176.922598879003,0
3,116,88.98,117.309593629035,0
5,444,405.53,388.972586930248,2
9,369,476.24,467.375167967714,2
4,314,266.94,259.3058842091,2
2,225,175.93,160.326828784809,1
5,344,316.08,311.191328120087,2
4,216,229.07,193.118239153261,1
13,205,336.68,342.16629586319,1
17,348,703.54,698.706183278304,2
16,431,818.8,824.748173661237,2
6,182,213.69,200.216199071568,1
15,200,386.13,367.928539551051,1
13,264,456.14,436.403469263965,1
15,281,505.34,513.898407639085,1
14,292,519.02,507.423835884261,1
13,172,302.16,289.457368367842,1
2,209,158.94,152.798393209365,1
7,313,334.51,343.976413515058,2
16,323,591.22,619.059409750284,2
5,135,154.07,148.628497206851,0
13,195,287.53,326.193893591873,1
6,364,343.73,360.420068893997,2
3,172,148,149.395111616302,1
14,396,688.12,684.189378813357,2
8,138,177.99,182.532909598983,0
11,308,433.34,450.80904818043,2
11,241,342.89,357.519365916356,1
2,268,174.47,180.559499393817,1
8,293,364.08,350.723092273361,1
15,197,373.79,362.522248140383,1
7,161,180.12,194.610649840468,1
14,40,92.36,79.1073280176044,0
6,311,306.35,313.767293616037,2
17,375,733.19,752.893942537769,2
5,293,273.36,271.522886126905,1
10,202,295,286.137337217244,1
4,189,162.39,174.882867556245,1
1,413,218.66,210.094463495348,2
16,208,364.88,400.038966696955,1
7,350,367.5,380.335184935847,2
3,221,191.39,177.469939855162,1
6,276,279.13,282.958857111724,1
16,212,406.58,407.657069064027,1
2,366,208.12,226.671167293417,2
16,282,576.19,540.973860487793,1
4,383,306.97,305.907389401476,2
15,205,381.16,376.939025235497,1
6,324,334.35,325.210427174782,2
13,238,380.17,394.875223358539,1
15,269,473.68,492.273241996413,1
12,300,484.6,466.787049541072,2
3,375,280.68,265.705114320149,2
12,147,207.65,238.080848386363,0
17,219,471.07,439.80911126086,1
12,227,338.38,357.665790166603,1
9,358,452.86,454.312377483931,2
11,308,438.89,450.80904818043,2
11,15,45.59,42.8407361897797,0
9,327,429.13,417.499058847813,2
16,207,399.63,398.134441105187,1
